"name","avrage_budget"
"Brad Pitt","54442718.666666666667"
"Edward Norton","63000000.000000000000"
"Meat Loaf","63000000.000000000000"
"Elijah Wood","93666666.666666666667"
"Viggo Mortensen","70333333.333333333333"
"Ian McKellen","115250000.000000000000"
"Timothée Chalamet","177500000.00000000"
"Zendaya","177500000.00000000"
"Rebecca Ferguson","177500000.00000000"
"Leonardo DiCaprio","100666666.666666666667"
"Joseph Gordon-Levitt","160000000.000000000000"
"Elliot Page","160000000.000000000000"
"Clint Eastwood","8750000.000000000000"
"Eli Wallach","1200000.000000000000"
"Lee Van Cleef","900000.000000000000"
"Orlando Bloom","93000000.000000000000"
"Keanu Reeves","63000000.000000000000"
"Laurence Fishburne","63000000.000000000000"
"Carrie-Anne Moss","63000000.000000000000"
"Christian Bale","156250000.00000000"
"Heath Ledger","185000000.000000000000"
"Aaron Eckhart","185000000.000000000000"
"Russell Crowe","103000000.000000000000"
"Joaquin Phoenix","58500000.000000000000"
"Connie Nielsen","103000000.000000000000"
"Alexandre Rodrigues","7564459.000000000000"
"Leandro Firmino","7564459.000000000000"
"Matheus Nachtergaele","7564459.000000000000"
"Adrien Brody","35000000.000000000000"
"Thomas Kretschmann","35000000.000000000000"
"Frank Finlay","35000000.000000000000"
"Matthew McConaughey","165000000.000000000000"
"Anne Hathaway","207500000.00000000"
"Jessica Chastain","165000000.000000000000"
"Jean Reno","19501238.000000000000"
"Gary Oldman","53250619.000000000000"
"Natalie Portman","62167079.333333333333"
"Matt Damon","95000000.000000000000"
"Jack Nicholson","48000000.000000000000"
"Kevin Spacey","6000000.000000000000"
"Gabriel Byrne","6000000.000000000000"
"Chazz Palminteri","6000000.000000000000"
"Hugh Jackman","40000000.000000000000"
"Scarlett Johansson","40000000.000000000000"
"Philippe Noiret","5000000.000000000000"
"Enzo Cannavale","5000000.000000000000"
"Antonella Attili","5000000.000000000000"
"Tsutomu Tatsumi","3700000.000000000000"
"Ayano Shiraishi","3700000.000000000000"
"Akemi Yamaguchi","3700000.000000000000"
"Henry Fonda","5000000.000000000000"
"Charles Bronson","5000000.000000000000"
"Claudia Cardinale","5000000.000000000000"
"Sigourney Weaver","14750000.000000000000"
"Tom Skerritt","11000000.000000000000"
"John Hurt","8000000.000000000000"
"Ben Burtt","180000000.000000000000"
"Elissa Knight","180000000.000000000000"
"Jeff Garlin","180000000.000000000000"
"Ulrich Mühe","2000000.000000000000"
"Martina Gedeck","2000000.000000000000"
"Sebastian Koch","2000000.000000000000"
"Shameik Moore","90000000.000000000000"
"Jake Johnson","90000000.000000000000"
"Hailee Steinfeld","90000000.000000000000"
"Robert Downey Jr.","321000000.00000000"
"Chris Hemsworth","179500000.00000000"
"Mark Ruffalo","178000000.00000000"
"Shelley Duvall","19000000.000000000000"
"Danny Lloyd","19000000.000000000000"
"Peter Sellers","1800000.000000000000"
"George C. Scott","1800000.000000000000"
"Sterling Hayden","1800000.000000000000"
"Michael Biehn","12450000.000000000000"
"Carrie Henn","18500000.000000000000"
"Anthony Gonzalez","175000000.000000000000"
"Gael García Bernal","175000000.000000000000"
"Benjamin Bratt","175000000.000000000000"
"Diane Kruger","70000000.000000000000"
"Eli Roth","70000000.000000000000"
"F. Murray Abraham","21500000.000000000000"
"Tom Hulce","18000000.000000000000"
"Elizabeth Berridge","18000000.000000000000"
"Cillian Murphy","100000000.000000000000"
"Emily Blunt","100000000.000000000000"
"Robert De Niro","38000000.000000000000"
"Zazie Beetz","55000000.000000000000"
"James Woods","30000000.000000000000"
"Elizabeth McGovern","30000000.000000000000"
"Zain Al Rafeea","4000000.000000000000"
"Yordanos Shiferaw","4000000.000000000000"
"Boluwatife Treasure Bankole","4000000.000000000000"
"Mads Mikkelsen","613308.000000000000"
"Thomas Bo Larsen","613308.000000000000"
"Annika Wedderkopp","613308.000000000000"
"Keir Dullea","12000000.000000000000"
"Gary Lockwood","12000000.000000000000"
"William Sylvester","12000000.000000000000"
"Lubna Azabal","6800000.000000000000"
"Mélissa Désormeaux-Poulin","6800000.000000000000"
"Maxim Gaudette","6800000.000000000000"
"Matthew Modine","30000000.000000000000"
"R. Lee Ermey","30000000.000000000000"
"Vincent D&apos;Onofrio","30000000.000000000000"
"Malcolm McDowell","2200000.000000000000"
"Patrick Magee","6600000.000000000000"
"Michael Bates","2200000.000000000000"
"Audrey Tautou","10000000.000000000000"
"Mathieu Kassovitz","10000000.000000000000"
"Rufus","10000000.000000000000"
"Payman Maadi","500000.000000000000"
"Leila Hatami","500000.000000000000"
"Sareh Bayat","500000.000000000000"
"Jason Statham","30328156.000000000000"
"Stephen Graham","30328156.000000000000"
"Aamir Khan","12391761.000000000000"
