"title","number_of_reviews"
"Fight Club (1999) - IMDb","25"
"The Lord of the Rings: The Return of the King (2003) - IMDb","25"
"The Lord of the Rings: The Two Towers (2002) - IMDb","25"
"Dune: Part Two (2024) - IMDb","25"
"Inception (2010) - IMDb","25"
"Il buono, il brutto, il cattivo (1966) - IMDb","24"
"The Lord of the Rings: The Fellowship of the Ring (2001) - IMDb","25"
"The Matrix (1999) - IMDb","25"
"The Dark Knight (2008) - IMDb","25"
"Gladiator (2000) - IMDb","25"
"Cidade de Deus (2002) - IMDb","25"
"The Pianist (2002) - IMDb","25"
"Interstellar (2014) - IMDb","25"
"Léon (1994) - IMDb","25"
"The Departed (2006) - IMDb","25"
"The Usual Suspects (1995) - IMDb","25"
"The Prestige (2006) - IMDb","25"
"Nuovo Cinema Paradiso (1988) - IMDb","25"
"Hotaru no haka (1988) - IMDb","25"
"C'era una volta il West (1968) - IMDb","25"
"Alien (1979) - IMDb","25"
"WALL·E (2008) - IMDb","25"
"Das Leben der Anderen (2006) - IMDb","25"
"Spider-Man: Into the Spider-Verse (2018) - IMDb","25"
"Avengers: Infinity War (2018) - IMDb","25"
"The Shining (1980) - IMDb","25"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964) - IMDb","25"
"Aliens (1986) - IMDb","25"
"Coco (2017) - IMDb","25"
"Inglourious Basterds (2009) - IMDb","25"
"Amadeus (1984) - IMDb","25"
"Oppenheimer (2023) - IMDb","25"
"Joker (2019) - IMDb","25"
"Once Upon a Time in America (1984) - IMDb","25"
"Capharnaüm (2018) - IMDb","25"
"Jagten (2012) - IMDb","25"
"2001: A Space Odyssey (1968) - IMDb","25"
"Incendies (2010) - IMDb","25"
"Full Metal Jacket (1987) - IMDb","24"
"A Clockwork Orange (1971) - IMDb","25"
"Le fabuleux destin d'Amélie Poulain (2001) - IMDb","25"
"Jodaeiye Nader az Simin (2011) - IMDb","25"
"Snatch (2000) - IMDb","25"
"Dangal (2016) - IMDb","25"
"1917 (2019) - IMDb","25"
"Der Untergang (2004) - IMDb","25"
"Per qualche dollaro in più (1965) - IMDb","25"
"Batman Begins (2005) - IMDb","25"
"The Father (2020) - IMDb","25"
"Green Book (2018) - IMDb","25"
"Casino (1995) - IMDb","25"
"Ran (1985) - IMDb","25"
"The Dark Knight Rises (2012) - IMDb","25"
"El laberinto del fauno (2006) - IMDb","25"
"The Thing (1982) - IMDb","25"
"Finding Nemo (2003) - IMDb","25"
"The Elephant Man (1980) - IMDb","25"
"V for Vendetta (2005) - IMDb","25"
"El secreto de sus ojos (2009) - IMDb","25"
"Trainspotting (1996) - IMDb","25"
"Three Billboards Outside Ebbing, Missouri (2017) - IMDb","25"
"Catch Me If You Can (2002) - IMDb","25"
"Fargo (1996) - IMDb","25"
"Gran Torino (2008) - IMDb","25"
"Harry Potter and the Deathly Hallows - Part 2 (2011) - IMDb","25"
"12 Years a Slave (2013) - IMDb","25"
"The Grand Budapest Hotel (2014) - IMDb","25"
"Before Sunrise (1995) - IMDb","25"
"Blade Runner (1982) - IMDb","25"
"Barry Lyndon (1975) - IMDb","24"
"In the Name of the Father (1993) - IMDb","24"
"Relatos salvajes (2014) - IMDb","25"
"Le salaire de la peur (1953) - IMDb","25"
"How to Train Your Dragon (2010) - IMDb","25"
"Room (2015) - IMDb","25"
"The Big Lebowski (1998) - IMDb","25"
"Before Sunset (2004) - IMDb","25"
"Hotel Rwanda (2004) - IMDb","25"
"Platoon (1986) - IMDb","25"
"The Terminator (1984) - IMDb","25"
"Rush (2013) - IMDb","25"
"Lock, Stock and Two Smoking Barrels (1998) - IMDb","25"
"The Incredibles (2004) - IMDb","24"
"Hachi: A Dog's Tale (2009) - IMDb","25"
"La battaglia di Algeri (1966) - IMDb","25"
"The Iron Giant (1999) - IMDb","25"
"Poor Things (2023) - IMDb","25"
"The Help (2011) - IMDb","25"
"Dances with Wolves (1990) - IMDb","24"
"Aladdin (1992) - IMDb","25"
"The Deer Hunter (1978) - IMDb","25"
"Arrival (2016) - IMDb","25"
"Dune (1984) - IMDb","24"
"Dune: Part One (2021) - IMDb","24"
"Per un pugno di dollari (1964) - IMDb","24"
"Blade Runner 2049 (2017) - IMDb","25"
"The Hobbit: An Unexpected Journey (2012) - IMDb","25"
"Star Wars: Episode III - Revenge of the Sith (2005) - IMDb","24"
"Batman (1989) - IMDb","25"
"Hannibal (2001) - IMDb","25"
