movie_id,title,director,budget,summary,countary
tt0137523,Fight Club (1999) - IMDb,David Fincher,63000000,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Germany
tt0167260,The Lord of the Rings: The Return of the King (2003) - IMDb,Peter Jackson,94000000,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,New Zealand
tt0167261,The Lord of the Rings: The Two Towers (2002) - IMDb,Peter Jackson,94000000,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",New Zealand
tt15239678,Dune: Part Two (2024) - IMDb,Denis Villeneuve,190000000,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,United States
tt1375666,Inception (2010) - IMDb,Christopher Nolan,160000000,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",United States
tt0060196,"Il buono, il brutto, il cattivo (1966) - IMDb",Sergio Leone,1200000,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Italy
tt0120737,The Lord of the Rings: The Fellowship of the Ring (2001) - IMDb,Peter Jackson,93000000,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,New Zealand
tt0133093,The Matrix (1999) - IMDb,Lana Wachowski,63000000,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",United States
tt0468569,The Dark Knight (2008) - IMDb,Christopher Nolan,185000000,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",United States
tt0172495,Gladiator (2000) - IMDb,Ridley Scott,103000000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,United States
tt0317248,Cidade de Deus (2002) - IMDb,Fernando Meirelles,7564459,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.",Brazil
tt0253474,The Pianist (2002) - IMDb,Roman Polanski,35000000,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",France
tt0816692,Interstellar (2014) - IMDb,Christopher Nolan,165000000,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",United States
tt0110413,Léon (1994) - IMDb,Luc Besson,19501238,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade.",France
tt0407887,The Departed (2006) - IMDb,Martin Scorsese,90000000,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,United States
